# key	thai
RoleSkillTree.Name.2000112	หัวใจยุติธรรม
RoleSkillTree.Description.2000632	ขณะแอมเบอร์อยู่ใน<color=#d6b85b>[บ้าคลั่ง]</color> จะพ่น<color=#d6b85b>[ลมหายใจมังกร]</color>เพิ่มอีก 2 ลำ
RoleSkillTree.Description.2000633	ขณะแอมเบอร์อยู่ใน<color=#d6b85b>[บ้าคลั่ง]</color> เมื่อ<color=#d6b85b>[ลมหายใจมังกร]</color>โดนศัตรู มีโอกาส 25% กระตุ้นเอฟเฟกต์แปรปรวนของอาวุธปัจจุบันของหลงถงทันที
RoleSkillTree.Description.2000641	เมื่อแอมเบอร์พ่น<color=#d6b85b>[ลมหายใจมังกร]</color> มีโอกาส 30% พ่น<color=#d6b85b>[ลมหายใจมังกรรอง]</color>เพิ่ม 3 ลำ แต่ละลำสร้างความเสียหายครึ่งหนึ่งของ<color=#d6b85b>[ลมหายใจมังกร]</color>
RoleSkillTree.Description.2000642	ขณะแอมเบอร์อยู่ใน<color=#d6b85b>[บ้าคลั่ง]</color> เมื่อ<color=#d6b85b>[ลมหายใจมังกร]</color>โดนเป้าหมาย จะสร้างความเสียหายแก่ศัตรูในรัศมี 300 รอบเป้าหมาย และดูดเข้าหาเป้าหมาย
RoleSkillTree.Description.2000643	ความเสียหายพื้นฐานของ<color=#d6b85b>[เปลวมังกร]</color> +100% ชั้นสูงสุด +2 และไม่หมดอายุอีกต่อไป
RoleSkillTree.Description.2000651	เมื่อหลงถงได้รับความเสียหายขณะพลังชีวิตต่ำกว่า 25% แอมเบอร์จะรับความเสียหายนั้นแทน จากนั้นแอมเบอร์จะหลับใหลจนกว่าหลงถงจะใช้<color=#d6b85b>[กำจัดพวกมัน!]</color>อีกครั้ง
RoleSkillTree.Description.2000652	เมื่อหลงถงได้รับความเสียหายถึงตาย ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
RoleSkillTree.Description.2000653	ความเสียหายที่หลงถงได้รับจากศัตรูที่ติด<color=#d6b85b>[เปลวมังกร]</color> -30%
RoleSkillTree.Description.2000661	เมื่อแอมเบอร์พ่น<color=#d6b85b>[ลมหายใจมังกร]</color> มีโอกาส 10% รีเซ็ตคูลดาวน์สกิลรบ\\n ความเสียหายของ<color=#d6b85b>[ลมหายใจมังกร]</color>และ<color=#d6b85b>[เปลวมังกร]</color>เพิ่มขึ้นเท่ากับ 40% ของโบนัส<color=#a024ff>ความเสียหายสกิลรบ</color>
RoleSkillTree.Description.2000662	เมื่อยิง จะมี<color=#99b7bb><link=\\"9035\\">โอกาสปรับตัว</link></color> 10% ใช้<color=#d6b85b>[กำจัดพวกมัน!]</color>ฟรี 1 ครั้ง
RoleSkillTree.Description.2000663	เมื่อกระสุนโดนศัตรูที่ติด<color=#d6b85b>[เปลวมังกร]</color> มีโอกาส 25% กระตุ้น<color=#d6b85b>[เปลวมังกรระเบิด]</color> สร้างความเสียหายธาตุอาวุธปัจจุบันเท่ากับ 40% ของความเสียหายกระสุนแก่เป้าหมายและศัตรูในรัศมี 150 หลา ทุก 1 ชั้นของ<color=#d6b85b>[เปลวมังกร]</color>ทำให้ความเสียหายนี้ +100%
RoleSkillTree.Description.2000711	เมื่อเข้าจุดพัก จะแสดง<color=#d6b85b>[ไพ่ทาโรต์]</color>สุ่ม 2 ใบ เลือกได้ 1 ใบ และรับเอฟเฟกต์ชั่วคราวจนกว่าจะเข้าจุดพักครั้งถัดไป โดยไม่ใช้ช่องไพ่ทาโรต์
RoleSkillTree.Description.2000712	เรียกพลังแห่งดวงดาว สเตลลาได้รับ<color=#d6b85b>[แสงดาว]</color> 5 ชั้น <color=#d6b85b>[แสงดาว]</color>: การยิงครั้งถัดไปเพิ่ม<color=#d6b85b>[ไพ่แสงดาว]</color> 1 ใบ แต่ละใบสร้าง<color=#d6b85b>ความเสียหายธาตุอาวุธปัจจุบัน</color> 200%
RoleSkillTree.Description.2000721	ถ้า<color=#d6b85b>[ไพ่ทาโรต์]</color>ที่ [กงล้อโชคชะตา] เลือกเป็นตั้งตรง รับ<color=#3dda4f><link=\\"9024\\">[เติบโต]</link></color> 15 ชั้นถาวร ถ้าเป็นกลับหัว รับ<color=#f44f06><link=\\"9023\\">[เถ้าเพลิง]</link></color> 15 ชั้นถาวร
RoleSkillTree.Description.2000722	[กงล้อโชคชะตา] แสดง<color=#d6b85b>[ไพ่ทาโรต์]</color>สุ่ม 3 ใบ
RoleSkillTree.Description.2000723	เมื่อ [กงล้อโชคชะตา] เผยไพ่ทาโรต์ คุณสามารถพลิกให้กลับหัวได้
RoleSkillTree.Description.2000731	ทุก 1 ชั้นของ<color=#d6b85b>[แสงดาว]</color> ความเสียหายสกิลรบ +10% เมื่อ<color=#d6b85b>[ไพ่แสงดาว]</color>สร้างความเสียหาย มีโอกาส 20% รีเซ็ตคูลดาวน์สกิลรบ
RoleSkillTree.Description.2000732	ความเสียหายของ<color=#d6b85b>[ไพ่แสงดาว]</color> +30% และเจาะทะลุศัตรูได้
RoleSkillTree.Description.2000733	เมื่อ<color=#d6b85b>[ไพ่แสงดาว]</color>สร้างความเสียหาย มีโอกาส 50% กระตุ้นเอฟเฟกต์แปรปรวนของอาวุธปัจจุบัน
RoleSkillTree.Description.2000741	เมื่อใช้ [แผงไพ่แสงดาว] รับ<color=#d6b85b>[แสงดาว]</color>เพิ่ม 5 ชั้น
RoleSkillTree.Description.2000742	ไพ่ทาโรต์จาก [กงล้อโชคชะตา] เสริมพลังให้สเตลลา ตั้งตรง: ทุกครั้งที่ได้รับ<color=#d6b85b>[แสงดาว]</color> จะได้เพิ่มอีก 1 ชั้น กลับหัว: <color=#d6b85b>[ไพ่แสงดาว]</color>สร้างการระเบิดดาวเมื่อโดนเป้าหมาย สร้างความเสียหายครึ่งหนึ่งในรัศมี 250 หลารอบเป้าหมาย
RoleSkillTree.Description.2000743	เมื่อใช้<color=#d6b85b>[แสงดาว]</color> มีโอกาส 30% คืน<color=#d6b85b>[แสงดาว]</color> 1 ชั้น
RoleSkillTree.Description.2000751	เมื่อสเตลลาได้รับความเสียหายถึงตาย สุ่มทำลายไพ่ทาโรต์ 1 ใบ และฟื้นพลังชีวิตสูงสุด 25%
RoleSkillTree.Description.2000752	เมื่อสเตลลาได้รับความเสียหายถึงตาย ฟื้นพลังชีวิตสูงสุด 50% ทันที จำกัด 1 ครั้งต่อเกม
RoleSkillTree.Description.2000753	หลังใช้<color=#d6b85b>[แสงดาว]</color> ความเร็วเคลื่อนที่ +5% นาน 8 วินาที สูงสุด 10 ชั้น
RoleSkillTree.Description.2000761	หลังเลือกตัวละคร [กงล้อโชคชะตา] จะทำงาน 1 ครั้ง และรับเอฟเฟกต์ของไพ่ทาโรต์ใบนั้นถาวร
RoleSkillTree.Description.2000762	เมื่อใช้สกิลรบ: รับ<color=#d6b85b>[แสงดาว]</color> 1 ชั้น เมื่อได้รับแสงดาว <color=#d6b85b>[ไพ่แสงดาว]</color>มีโอกาส 30% ยิงเพิ่มอีก 1 ใบ
RoleSkillTree.Description.2000763	เมื่อช่องไพ่ทาโรต์เต็ม สุ่มรับ<color=#D77D3A>เรลิคเฉพาะตัว</color>ของไพ่ทาโรต์ที่ถืออยู่ 1 ชิ้น
RoleSkillTree.UpDescription.2000211	เหรียญที่ใช้ไป: <color=#d6b85b>{1001:1844}/{0}</color></link>
RoleSkillTree.UpDescription.2000411	จำนวนครั้งที่ทำงาน: <color=#d6b85b>{1001:1994}/{1002:1001}</color></link>
RoleSkillTree.UpDescription.2000423	จำนวนครั้งที่ทำงาน: <color=#d6b85b>{1001:1844}/{0}</color></link>
RoleSkillTree.UpDescription.2000462	จำนวนครั้งที่ทำงาน: <color=#d6b85b>{1001:1844}/{0}</color></link>
RoleSkillTree.CompleteDescription.2000211	ภารกิจสำเร็จ
RoleSkillTree.CompleteDescription.2000423	ภารกิจสำเร็จ
RoleSkillTree.CompleteDescription.2000462	ภารกิจสำเร็จ
